field.tree.health.condition,latitude,longitude
Good,47.3171760566,-122.5441550161
Good,47.3164124539,-122.5443059689
Good,47.3160258499,-122.5444889737
Good,47.3170460511,-122.5438393207
Good,47.3165459421,-122.5439413967
Good,47.3164868979,-122.5439644534
Good,47.3130901567,-122.5333524137
Good,47.3129414144,-122.5333095275
Good,47.3166150332,-122.5353839389
Good,47.3129183185,-122.5332136525
Good,47.3040869975,-122.5338864157
Good,47.3052829394,-122.5346068908
Good,47.3053785612,-122.5343810121
Good,47.3053737255,-122.5344426923
Good,47.3054338167,-122.5344604053
Good,47.3052777015,-122.5345837993
Good,47.30549086,-122.534425199
Good,47.3056148749,-122.5344370292
Good,47.3059968613,-122.5350675637
Good,47.305464891,-122.5343378098
Good,47.3055823561,-122.5345219085
Good,47.3060149693,-122.5351675592
Good,47.3059682847,-122.5351826599
Good,47.3059610628,-122.5351232679
Good,47.3061174019,-122.5351872766
Good,47.30745734,-122.536421988
Good,47.309346481,-122.5386389638
Good,47.3098449183,-122.5390727125
Good,47.3100786722,-122.5389468478
Good,47.3100432703,-122.5390466132
Good,47.3101648666,-122.5389057095
Good,47.3101062466,-122.5390842794
Good,47.3109025059,-122.5393422205
Good,47.3107650723,-122.5392873317
Good,47.3108705127,-122.5394162942
Good,47.3107697797,-122.5392401811
Good,47.3108264204,-122.5394630391
Good,47.3104928111,-122.5392946681
Good,47.3109160137,-122.5394913752
Good,47.31135574,-122.5400878281
Good,47.3100354212,-122.5389633385
Good,47.3108571735,-122.5390909499
Good,47.311067499399996,-122.5405398449
Good,47.3114393678,-122.5402259652
Good,47.3110816804,-122.5402351843
Good,47.3115361635,-122.539948993
Good,47.3115006355,-122.5404135235
Good,47.3114073409,-122.5403648558
Good,47.3114503397,-122.539958541
Good,47.3115587024,-122.540006024
Good,47.3115635187,-122.5400167162
Good,47.3116798868,-122.5400371866
Good,47.3114789211,-122.5402687453
Good,47.3116583331,-122.5397518004
Good,47.3120256379,-122.540374269
Good,47.3118972034,-122.5400597044
Good,47.3120203095,-122.5402736669
Good,47.311922753,-122.5401827728
Good,47.3121926063,-122.5403061287
Good,47.3123250889,-122.5401725333
Good,47.3121713799,-122.5407559431
Good,47.3119742789,-122.5404078743
Good,47.3122269148,-122.5409468397
Good,47.312095032,-122.5406970564
Good,47.3120406362,-122.5406698953
Good,47.3120808698,-122.5406113725
Good,47.3119234882,-122.5408395485
Good,47.3117970537,-122.540985905
Good,47.311768729,-122.5406836885
Good,47.3119713789,-122.5409601497
Good,47.3133181439,-122.5434868696
Good,47.314119645,-122.543626682
Good,47.3150348772,-122.543933211
Good,47.3152665997,-122.544939222
Good,47.3153556124,-122.5449930216
Good,47.3156129823,-122.5450563202
Good,47.317338421,-122.5460657806
Good,47.3178273254,-122.5452938037
Good,47.3179183854,-122.5452127309
Good,47.3179483251,-122.5450195112
Good,47.3158835719,-122.5449869729
Good,47.3178168999,-122.5451325773
Good,47.3166617946,-122.5361510824
Good,47.3168046723,-122.5359849701
Good,47.3169706939,-122.5363512456
Good,47.3172535258,-122.5363637164
Good,47.3172629483,-122.5365710894
Good,47.3172952165,-122.5369077147
Good,47.3173133733,-122.5370015886
Good,47.3173220268,-122.537713447
Good,47.3166113334,-122.5378151439
Good,47.3158509618,-122.5390732647
Good,47.3164040002,-122.5396592185
Good,47.3173208907,-122.5376299951
Good,47.3169423542,-122.5403133909
Good,47.3170526642,-122.5401917893
Good,47.315876867,-122.5383127026
Good,47.3171800889,-122.5402980687
Good,47.3171640415,-122.5405514935
Good,47.3171561696,-122.5405831769
Good,47.3171036168,-122.5405703448
Good,47.3172287431,-122.5406683145
Good,47.3160987993,-122.5393479358
Good,47.3180224742,-122.542357306
Good,47.3171869278,-122.5404060295
Good,47.3178808835,-122.5424058932
Good,47.317853367,-122.5432868092
Good,47.3179112814,-122.5414398676
Good,47.3178950772,-122.5431702909
Good,47.3178832869,-122.5432613671
Good,47.3178717699,-122.5432949865
Good,47.3177621927,-122.5433188798
Good,47.3180142258,-122.5434958794
Good,47.3177595058,-122.5436452542
Good,47.317797372,-122.5436899091
Good,47.3177705558,-122.5434747492
Good,47.3068052205,-122.5338454518
Good,47.3067594497,-122.5338075396
Good,47.3066361119,-122.5338550944
Good,47.3067572065,-122.5343740894
Good,47.3067589644,-122.5344230579
Good,47.3070334049,-122.534473313
Good,47.3070613187,-122.5346481291
Good,47.3070644495,-122.5347948634
Good,47.3066765181,-122.5337695052
Good,47.3067017053,-122.5337914486
Good,47.3066603663,-122.5339119097
Good,47.3070592836,-122.5346242347
Good,47.3070224806,-122.5347426356
Good,47.306791655,-122.5348020999
Good,47.3181587503,-122.5433878981
Good,47.3180700808,-122.5437347344
Good,47.318123104,-122.5437264352
Good,47.3179096884,-122.543717587
Good,47.318283557,-122.5433562046
Good,47.3178963015,-122.5437436728
Good,47.3179194844,-122.5443720891
Good,47.3179755163,-122.5443491911
Good,47.3178763164,-122.5446497153
Good,47.3178926079,-122.5443568436
Good,47.316049852,-122.5441059515
Good,47.3179477253,-122.5446082187
Good,47.3161247872,-122.5436227547
Good,47.3161579868,-122.5441456567
Good,47.3165756139,-122.5438423132
Good,47.3180336946,-122.5436576679
Good,47.3181652933,-122.5436165724
Good,47.318123416,-122.5435435263
Good,47.3178704822,-122.5441966445
Good,47.317980745,-122.5443433045
Good,47.3179608817,-122.5443588664
Good,47.3162280842,-122.5440880404
Good,47.316253259,-122.5435495668
Good,47.30720212,-122.5351996737
Good,47.3072914582,-122.5353877372
Good,47.3072452858,-122.5352796418
Good,47.307658557,-122.5359850926
Good,47.3077679848,-122.5361606969
Good,47.3077821038,-122.536263962
Good,47.3077189311,-122.5362722263
Good,47.3079679846,-122.5363641402
Good,47.3081456976,-122.5361901117
Good,47.3079274267,-122.5364745011
Good,47.3083129736,-122.5366660059
Good,47.3078033204,-122.5361981008
Good,47.3079216377,-122.5362768024
Good,47.3087917164,-122.537458921
Good,47.3075608132,-122.5362596624
Good,47.3084229084,-122.5369314861
